NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error,RowNr
89,18113,62,66,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,37
89,,60,,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,38
91,18467,62,61,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,39
93,18625,64,66,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,40
95,18790,65,68,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,41
97,18977,67,73,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,42
98,19164,65,62,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,43
100,19325,64,68,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,44
102,19497,62,69,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,45
105,19679,60,70,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,46
106,19860,62,69,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,47
108,20045,64,64,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,48
111,20213,65,74,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,49
113,20393,67,82,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,50
115,20571,65,77,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,51
117,20739,64,70,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,52
119,20909,62,76,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,53
121,21087,60,71,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,54
123,21267,62,71,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,55
125,21443,64,64,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,56
127,21611,65,78,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,57
129,21792,67,81,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,58
130,21964,65,69,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,59
132,22153,64,72,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,60
134,22323,62,74,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,61
137,22511,60,75,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,62
138,22686,62,75,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,63
140,22866,64,68,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,64
142,23035,65,78,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,65
145,23239,67,83,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,66
146,24858,60,59,1,2,4,4,4,articulation,teaching,4_t_stim_a.png,1,67
