RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,BlockNr,TrialNr,Skill,Condition,Image,Error,Tempo
47,108,23721,71,77,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
48,111,24008,72,69,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
49,113,24288,72,59,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
50,115,24563,74,59,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
51,117,24840,74,58,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
52,119,25142,76,52,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
53,121,26568,65,57,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
54,121,,65,,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
55,123,26843,64,55,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
56,125,27109,64,55,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
57,127,27448,62,56,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
58,129,28509,67,56,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
59,131,28811,67,51,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
60,133,29078,71,57,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
61,135,29367,71,53,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
62,137,29649,72,58,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
63,139,29921,72,59,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
64,141,30212,73,57,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
65,143,30483,73,57,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
66,145,30784,74,81,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
67,146,31383,77,81,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
68,148,31963,76,81,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
69,150,32548,74,83,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
70,153,33160,72,84,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
71,155,33733,84,91,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
72,157,34353,84,85,1,2,13,2,2,dynamics,teaching,2_t_stim_d.png,1,100
1,17,7849,79,70,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
2,18,8148,78,74,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
3,20,8417,79,72,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
4,22,8710,76,77,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
5,24,9005,72,76,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
6,27,9301,67,60,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
7,29,9569,67,58,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
8,31,9859,67,68,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
9,33,10136,79,74,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
10,34,10419,78,79,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
11,36,10706,79,78,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
12,38,10978,76,75,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
13,41,11283,72,72,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
14,42,11536,76,76,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
15,44,11815,79,85,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
16,46,12099,84,81,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
17,48,12377,83,81,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
18,50,12664,81,70,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
19,53,12941,81,73,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
20,55,13209,81,78,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
21,57,13493,83,77,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
22,58,13781,81,82,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
23,60,14091,84,81,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
24,62,14380,81,82,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
25,64,14671,78,84,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
26,66,14957,79,78,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
27,69,15248,79,71,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
28,71,15849,79,67,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
29,73,17287,77,57,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
30,75,17570,77,60,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
31,77,17855,76,56,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
32,79,18133,76,50,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
33,81,18443,74,51,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
34,83,19686,79,68,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
35,85,20303,77,77,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
36,87,20931,76,65,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
37,89,21235,76,65,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
38,91,21511,76,66,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
39,93,21794,76,70,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
40,95,22076,81,70,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
41,96,22372,77,66,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
42,98,22647,76,70,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
43,101,22945,74,72,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
44,102,23231,76,70,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
45,104,23519,79,78,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
46,106,23789,74,75,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
47,108,24064,71,71,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
48,111,24385,72,68,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
49,113,24658,72,62,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
50,115,24924,74,70,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
51,117,25199,74,68,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
52,119,25500,76,62,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
53,121,26906,65,58,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
54,123,27213,65,67,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
55,125,27778,64,61,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
56,125,,64,,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
57,127,28081,62,57,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
58,129,29319,67,60,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
59,131,29602,67,66,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
60,133,29884,71,68,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
61,135,30154,71,67,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
62,137,30446,72,71,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
63,139,30723,72,76,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
64,141,30994,73,80,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
65,143,31280,73,81,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
66,145,31578,74,80,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
67,147,32179,77,74,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
68,149,32801,76,81,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
69,151,33411,74,79,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
70,153,34070,72,76,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
71,155,34712,84,81,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
72,157,35417,84,81,1,2,14,3,2,articulation,teaching,2_t_stim_a.png,1,100
1,17,9343,79,74,1,2,15,1,1,dynamics,teaching,1_t_stim_d.png,1,110
2,18,9695,78,87,1,2,15,1,1,dynamics,teaching,1_t_stim_d.png,1,110
3,20,9952,79,88,1,2,15,1,1,dynamics,teaching,1_t_stim_d.png,1,110
4,22,10178,76,85,1,2,15,1,1,dynamics,teaching,1_t_stim_d.png,1,110
5,24,10427,72,87,1,2,15,1,1,dynamics,teaching,1_t_stim_d.png,1,110
6,27,10707,67,70,1,2,15,1,1,dynamics,teaching,1_t_stim_d.png,1,110
7,29,10964,67,58,1,2,15,1,1,dynamics,teaching,1_t_stim_d.png,1,110
